,,type,temperature,flag,ref_num
NdCo9Si4,262,Curie,12.0,False,1
Fe25Ni75,263,Curie,500.0,False,1
FeReO4,264,Néel,234.5,False,2
NpAl2,265,Curie,56.0,False,2
RuSr2HoCu2O8,266,Néel,10.0,False,2
Ferrimagnets,267,Curie,342.0,False,7
Cu2Sb,268,Néel,550.0,False,2
SbTaO4,269,Curie,673.0,False,1
UMnGe,270,Néel,240.0,False,1
73Ge,271,Curie,17.333333333333332,False,3
Orgueil,272,Curie,923.0,False,1
CeNiSb2,273,Curie,6.0,False,3
Ba2FeMoO6,274,Curie,353.07142857142856,False,14
TbCu4Ag,275,Curie,20.0,False,6
CePtSn,276,Néel,5.4,False,5
Pr2Fe14C,277,Curie,590.0,False,1
HoPd,278,Curie,10.0,False,1
CeY2Ni9,279,Curie,92.0,False,1
Ca2Cr2O5,280,Néel,200.0,False,1
CoRe2O6,281,Curie,42.5,False,2
Tm2Cu2In,282,Curie,39.0,False,1
Mn2Au,283,Néel,1445.0,False,10
Ga2O3,284,Curie,483.0,False,3
Er11Ge8In2,285,Curie,24.0,False,2
Sm3Te4,286,Curie,292.0,False,1
Pb2CrMoO6,287,Curie,309.3333333333333,False,3
MnMo6Se8,288,Curie,28.0,False,1
YBa2Cu4O8,289,Curie,80.5,False,2
C9H22NClO4,290,Curie,440.0,False,1
Fe50Mn25Ga25,291,Curie,240.0,False,1
NbN,292,Curie,16.0,False,2
Nd60Al10Fe20Co10,293,Néel,260.0,False,2
LaTiO3,294,Néel,135.0,False,2
Ko17,295,Curie,853.0,False,2
Sm2Fe15Ga2Hz*,296,Curie,290.0,False,2
Cr4TiSe8,297,Curie,300.0,False,2
Co50Pt50,298,Curie,950.0,False,1
ErTiSi,299,Néel,27.5,False,6
CeFe10CoTi,300,Curie,585.0,False,1
Fe83Zr11B6,301,Curie,329.5,False,2
InC,302,Curie,318.0,False,1
Mn2RuGa,303,Curie,272.0,False,1
Co3Fe2,304,Curie,13.666666666666666,False,6
EuFeO3,305,Néel,13.333333333333334,False,3
Ni2V2O7,306,Curie,11.0,False,1
AlF3,307,Curie,388.5,False,2
Ho2PdSi3,308,Curie,146.5,False,4
Co2FeGe,309,Curie,1000.0,False,1
Eu3Ge5,310,Néel,18.0,False,1
LaONiAS,311,Curie,2.5,False,2
Cu4,312,Curie,360.0,False,2
La6Fe9Al5,313,Néel,52.5,False,2
Pr2Co14C,314,Curie,463.0,False,1
Re,315,Curie,44.5,False,2
ErPtGe,316,Néel,4.0,False,2
Ni49Mn31Ga19Cu1,317,Curie,360.0,False,1
Ba2YRuO6,318,Néel,37.0,False,1
FeTiSi2,319,Curie,917.0,False,1
GdNi2B2C,320,Néel,20.0,False,3
La3Ni4P4O2,321,Curie,3.0,False,2
Dy2Fe17H3,322,Curie,516.0,False,3
