,,Type,Normalised Value,flag
SmCrO3,243,Néel,192.66666666666666,False
BiFeO,244,Néel,860.0,False
MnTe6O13,245,Néel,13.0,False
PrMn2O5,246,Néel,100.0,False
Ca3Ru2O7,247,Curie,137.5,False
ScCrO3,248,Néel,70.5,False
GdMn2O5,249,Néel,42.666666666666664,False
Eu2MgIrO6,250,Néel,10.0,False
LuCu3Mn4O12,251,Curie,376.5,False
SrRu2O6,252,Néel,565.0,False
SmAlO3,253,Curie,600.0,False
Li5Mn12Fe4O28,254,Curie,276.0,False
NaTaO3,255,Curie,748.0,False
CaFeSi2O6,256,Néel,24.666666666666668,False
Li7Mn14O28,257,Curie,276.0,False
Bi2NiMnO6,258,Curie,140.0,False
CuB2O4,259,Néel,21.0,False
SnO,260,Curie,850.0,False
ScMn2O4,261,Curie,58.0,False
PbMnBO4,262,Curie,31.0,False
La2CuO4,263,Néel,143.64285714285714,False
EuMnO3,264,Néel,41.6,False
Sr2FeO4,265,Néel,60.0,False
Bi2FeMnO6,266,Curie,105.0,False
Bi8Ti3Fe4O24,267,Néel,220.0,False
Bi2Fe4O9,268,Néel,256.2857142857143,False
NdMnO3,269,Néel,75.72727272727273,False
MnTiO3,270,Néel,64.0,False
Sr2MnReO6,271,Curie,120.0,False
NaVGe2O6,272,Néel,16.0,False
Fe2B2O5,273,Néel,70.0,False
LixFePO4,274,Néel,67.33333333333333,False
Pr2MgIrO6,275,Néel,14.0,False
ThCu3Mn4O12,276,Curie,2.0,False
La5Re3MnO16,277,Curie,161.0,False
Ca2TiMnO6,278,Curie,69.0,False
LaMnO3,279,Néel,167.60714285714286,False
HoPO4,280,Curie,1.0,False
Sr2IrO4,281,Curie,205.16666666666666,False
BaCO3,282,Curie,98.0,False
BaBiFe11O19,283,Curie,751.0,False
TlCrO3,284,Néel,85.0,False
Sr2MnWO6,285,Néel,17.428571428571427,False
MFe2O4,286,Néel,10.0,False
LaNiAsO,287,Curie,2.0,False
Nd3NbO7,288,Néel,1.0,False
LnOsPnO,289,Néel,9.5,False
MoO6,290,Néel,130.0,False
NdBaCo2O6,291,Curie,200.0,False
LiFeO2,292,Néel,20.0,False
Na2FeP2O7,293,Néel,3.0,False
SmCrO,294,Néel,15.0,False
Sr2CrSbO6,295,Néel,12.0,False
LiTaO3,296,Curie,849.125,False
NaPb2Mn2V3O12,297,Néel,16.25,False
Sr2Fe2O5,298,Néel,698.25,False
Sr2FeCoO6,299,Néel,134.0,False
NiCrFeO4,300,Curie,557.0,False
Sr2FeSbO6,301,Néel,37.0,False
Ca3CoMnO6,302,Néel,13.0,False
CuFe2O4,303,Curie,750.4444444444445,False
RECrO3,304,Néel,218.0,False
CaMnGe2O6,305,Néel,8.0,False
SbTaO4,306,Curie,673.0,False
GdPO4,307,Néel,225.0,False
BaYb2O4,308,Néel,98.25,False
RuSr2GdCu2O8,309,Curie,79.62068965517241,False
Eu2O3,310,Néel,276.42857142857144,False
BiO3,311,Curie,30.0,False
MnO3,312,Curie,218.9,False
La4Cu3MoO12,313,Néel,0.3333333333333333,False
BiScO3,314,Curie,733.0,False
LaTiO3,315,Néel,135.0,False
PbZrO3,316,Curie,525.3,False
Fe3O4,317,Curie,807.9625,False
Dy2NiMnO6,318,Curie,93.0,False
CdCrO2,319,Curie,110.0,False
LiFePO4,320,Néel,74.02173913043478,False
LBiO,321,Curie,539.5,False
SrMoO4precipitates,322,Curie,420.0,False
CrO2,323,Curie,377.9130434782609,False
Sr2FeWO6,324,Néel,37.166666666666664,False
EuTiO3,325,Néel,5.0,False
BaZrO3,326,Curie,593.0,False
ZnCo2O4,327,Curie,70.0,False
YCrO4,328,Curie,9.0,False
Pr2NiMnO6,329,Curie,212.5,False
MnCO3,330,Néel,32.5,False
La5Mo4O16,331,Curie,100.0,False
Li2FeSiO2,332,Néel,25.0,False
Na2Ti6O13,333,Curie,465.0,False
Ba2ScCoO5,334,Curie,50.0,False
kOe,335,Curie,324.0,False
NdAlO3,336,Néel,4.0,False
BaTm2O4,337,Néel,9.5,False
BaGd2O4,338,Néel,6.5,False
RMnO3,339,Néel,226.66666666666666,False
NiCr2O4,340,Curie,143.3846153846154,False
GdVO4,341,Néel,1.5,False
ZnMgO,342,Curie,80.0,False
LiSbO3,343,Curie,675.5,False
PrTiO3,344,Néel,65.0,False
Ca2MnO4,345,Néel,155.0,False
BaBiNb2O9,346,Curie,443.0,False
NaTiSi2O6,347,Néel,230.0,False
Ba2CeIrO6,348,Néel,17.0,False
Pb2Sr2DyCu3O8,349,Néel,1.0,False
Nd2LiOsO6,350,Néel,23.0,False
AA′Mn2O6,351,Curie,445.0,False
YBa2Cu3Oy,352,Curie,80.0,False
Mn2BO4,353,Néel,95.0,False
Ag3Co2SbO6,354,Néel,21.0,False
Ca2FeReO6,355,Curie,537.75,False
AFeO3,356,Néel,740.0,False
La2MnNiO6,357,Curie,254.0,False
Sr4Fe4O11,358,Néel,231.0,False
SrPdO3,359,Néel,370.0,False
CaCuP2O7,360,Néel,1.0,False
CoO2,361,Néel,200.0,False
CoSb2O6,362,Néel,12.0,False
Bi4Pb2Ti3FeNbO18,363,Curie,383.0,False
LiCoPO4,364,Néel,38.8,False
Ho2BaNiO5,365,Néel,49.0,False
SrBi3Nb2FeO12,366,Néel,883.0,False
Bi2Sr2CaCu2O8,367,Curie,64.5,False
Ba6MgMn4O15,368,Néel,7.0,False
Ba3MnSb2O9,369,Néel,10.0,False
Optimising,370,Curie,398.0,False
NdVO3,371,Curie,138.0,False
LuFeO3,372,Néel,625.0,False
Fe2MoO4,373,Curie,348.0,False
ZnTiO3,374,Curie,278.0,False
Sm2LiOsO6,375,Néel,32.0,False
YNiO3,376,Néel,145.0,False
LaBaCo2O6,377,Curie,175.0,False
BaMnFe11O19,378,Curie,697.0,False
TbCrO3,379,Néel,158.0,False
