name,dum,type,temperature,flag,ref_num,parsed_form,chem_flags,C_flags,N_flags,O_flags,S_flags,V_flags,Cr_flags,Mn_flags,Fe_flags,Co_flags,Ni_flags,Cu_flags,As_flags,Se_flags,La_flags,Ce_flags,Pr_flags,Nd_flags,Pm_flags,Sm_flags,Eu_flags,Gd_flags,Tb_flags,Dy_flags,Ho_flags,Er_flags,Tm_flags,Yb_flags,Lu_flags,Hf_flags,Ta_flags
Nb4N5,3890,Curie,8.0,False,1,"{'Nb': 4.0, 'N': 5.0}",True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Mn3IrSi,3889,Néel,210.0,False,3,"{'Mn': 3.0, 'Ir': 1.0, 'Si': 1.0}",True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Gd36Y20Al24Co20,3888,Curie,53.0,False,3,"{'Gd': 36.0, 'Y': 20.0, 'Al': 24.0, 'Co': 20.0}",True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
CeFe8Co3Ti,3887,Curie,740.0,False,1,"{'Ce': 1.0, 'Fe': 8.0, 'Co': 3.0, 'Ti': 1.0}",True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Fe3Ga4,3886,Néel,392.0,False,2,"{'Fe': 3.0, 'Ga': 4.0}",True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Nd6Ti4Al43,3885,Néel,2.0,False,6,"{'Nd': 6.0, 'Ti': 4.0, 'Al': 43.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Sr2RuHoO6,3884,Néel,10.0,False,3,"{'Sr': 2.0, 'Ru': 1.0, 'Ho': 1.0, 'O': 6.0}",True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
YbFe2,3883,Curie,542.0,False,1,"{'Yb': 1.0, 'Fe': 2.0}",True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Rb2MnCl4,3882,Néel,57.0,False,1,"{'Rb': 2.0, 'Mn': 1.0, 'Cl': 4.0}",True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TbRhRuSi2,3881,Néel,15.0,False,1,"{'Tb': 1.0, 'Rh': 1.0, 'Ru': 1.0, 'Si': 2.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
YCrO4,3880,Curie,9.0,False,2,"{'Y': 1.0, 'Cr': 1.0, 'O': 4.0}",True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ho2NiGe6,3879,Néel,15.0,False,2,"{'Ho': 2.0, 'Ni': 1.0, 'Ge': 6.0}",True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
CePtAl,3878,Curie,5.0,False,5,"{'Ce': 1.0, 'Pt': 1.0, 'Al': 1.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
NdFe12,3876,Curie,823.0,False,1,"{'Nd': 1.0, 'Fe': 12.0}",True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
ZnDy03,3875,Néel,20.0,False,2,"{'Zn': 1.0, 'Dy': 3.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
HfRhSi,3874,Curie,2.0,False,2,"{'Hf': 1.0, 'Rh': 1.0, 'Si': 1.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Pr2MgIrO6,3873,Néel,14.0,False,1,"{'Pr': 2.0, 'Mg': 1.0, 'Ir': 1.0, 'O': 6.0}",True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TbPdIn,3872,Curie,45.0,False,3,"{'Tb': 1.0, 'Pd': 1.0, 'In': 1.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
PrPd2Ge2,3871,Néel,3.5,False,6,"{'Pr': 1.0, 'Pd': 2.0, 'Ge': 2.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
